Entidad;Objeto;FNA;GNA;NAM;SAG;LIMa_100k_;FDC;Escala;created_us;created_da;last_edite;last_edi_1;Pais_100KR;SHAPE_STAr;SHAPE_STLe
0;Pa°s;Estado Plurinacional de Bolivia;-2;Bolivia;;4;;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;91,9702412;62,22942958
0;Pa°s;Anguila (GBR);;Anguila (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,016794674;1,12676895
0;Pa°s;Antigua y Barbuda;;Antigua y Barbuda;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,038368395;1,639974614
0;Pa°s;Commonwealth de las Bahamas;;Bahamas;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1,119749567;35,73681942
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;3,02494E-06;0,007364303
0;Pa°s;Belice;;Belice;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1,894414248;10,8562885
0;Pa°s;Bermudas (GBR);;Bermudas (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,003106558;0,492905082
0;Pa°s;Barbados;;Barbados;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,037039776;0,817650674
0;Pa°s;Canad†;;Canad†;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1691,869097;2573,712442
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000412839;0,081190068
0;Pa°s;Commonwealth de Dominica;;Dominica;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,061493319;1,165521737
0;Pa°s;Granada;;Granada;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,02884146;1,037692391
0;Pa°s;Jamaica;;Jamaica;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,942061829;5,977438034
0;Pa°s;Saint Kitts y Nevis;;San Crist¢bal y Nieves;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,024665192;1,250487443
0;Pa°s;Santa Luc°a;;Santa Luc°a;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,050606093;0,969618606
0;Pa°s;Estados Unidos Mexicanos;;MÇxico;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;174,2020235;182,0662391
0;Pa°s;Montserrat (GBR);;Montserrat (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,008439961;0,384947124
0;Pa°s;Puerto Rico (USA);;Puerto Rico (USA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,769281985;6,09141116
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;8,88358E-06;0,013894932
0;Pa°s;Saint Pierre y Miquelon (Francia);;Saint Pierre y Miquelon (Francia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,02867437;1,440638789
0;Pa°s;Turcas y Caicos (GBR);;Turcas y Caicos (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,038878358;3,456224627
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,001566874;0,55828235
0;Pa°s;Estados Unidos de AmÇrica;;Estados Unidos de AmÇrica;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;1116,361753;948,7244939
0;Pa°s;;;;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,005638748;0,657738928
0;Pa°s;San Vicente y las Granadinas;;San Vicente y las Granadinas;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,030665912;1,228524485
0;Pa°s;Islas V°rgenes (USA);;Islas V°rgenes (USA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,012400494;1,374538945
0;Pa°s;Islas V°rgenes (GBR);;Islas V°rgenes (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,030265362;1,705456473
0;Pa°s;Aland (Finlandia);;Aland (Finlandia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,152389069;7,534981671
0;Pa°s;Emiratos µÅrabes Unidos;;Emiratos µÅrabes Unidos;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;6,303561206;21,46633235
0;Pa°s;Samoa Americana (USA);;Samoa Americana (USA);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,015101319;1,073712703
0;Pa°s;Burkina Faso;;Burkina Faso;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;22,66904543;29,86550892
0;Pa°s;Brunei Darussalam;;Brunei Darussalam;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,465836539;5,270602709
0;Pa°s;Islas Cook (Nueva Zelandia);;Islas Cook (Nueva Zelandia);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,016505483;1,764202059
0;Pa°s;Rep£blica µÅrabe de Egipto;;Egipto;IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;90,73192663;61,15930932
0;Pa°s;Islas Feroe (Dinamarca);;Islas Feroe (Dinamarca);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,22805794;10,26969248
0;Pa°s;Islas del Canal (GBR);;Islas del Canal (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,023743971;1,286070929
0;Pa°s;Gibraltar (GBR);;Gibraltar (GBR);IGN;4;UN-GGIM/IGN;0;JGONZALEZ@;22/03/2019;GEODBA;21/07/2019;1;0,000369676;0,085998694
